LFQ intensity 1	LFQ intensity 2	LFQ intensity 3	LFQ intensity 4	LFQ intensity 5	LFQ intensity 6	LFQ intensity 7	LFQ intensity 8	LFQ intensity 9	LFQ intensity 10	LFQ intensity 11	LFQ intensity 12	LFQ intensity 13	LFQ intensity 14	LFQ intensity 15	LFQ intensity 16	LFQ intensity 17	LFQ intensity 18	LFQ intensity 19	LFQ intensity 20	LFQ intensity 21	LFQ intensity 22	LFQ intensity 23	LFQ intensity 24	Only identified by site	Reverse	Potential contaminant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	Protein IDs	Majority protein IDs	Protein names	Gene names	Fasta headers
4.5647E+07	5.2957E+07	4.5051E+07	5.4617E+07	5.8639E+07	2.7829E+07	3.4632E+07	3.8874E+07	4.8178E+07	4.4115E+07	4.3459E+07	3.863E+07	4.1366E+07	3.1075E+07	3.3259E+07	2.9692E+07	3.5031E+07	3.7589E+07	4.3381E+07	4.745E+07	4.2669E+07	3.3819E+07	3.9078E+07	4.1194E+07				15	15	15	20.2	20.2	20.2	87.917	0	323.31	1755500000	51	A0A0B4J1V8;Q9NQ55	A0A0B4J1V8;Q9NQ55	Suppressor of SWI4 1 homolog	PPAN-P2RY11;PPAN	tr|A0A0B4J1V8|A0A0B4J1V8_HUMAN HCG2039996 OS=Homo sapiens GN=PPAN-P2RY11 PE=3 SV=1;sp|Q9NQ55|SSF1_HUMAN Suppressor of SWI4 1 homolog OS=Homo sapiens GN=PPAN PE=2 SV=1
1.6789E+07	1.5679E+07	2.2112E+07	0	2.8702E+07	1.5124E+07	0	2.1347E+07	1.1937E+07	1.6703E+07	0	2.3379E+07	2.6019E+07	2.4254E+07	1.6732E+07	3982300	1.8277E+07	9525100	1772800	1.2988E+07	2.274E+07	7375700	0	1.0767E+07				6	6	6	16.9	16.9	16.9	51.504	0	37.301	579470000	28	A0A0B4J2A0;Q9UHJ6	A0A0B4J2A0;Q9UHJ6	Sedoheptulokinase	TRPV1;SHPK	tr|A0A0B4J2A0|A0A0B4J2A0_HUMAN Uncharacterized protein OS=Homo sapiens PE=1 SV=1;sp|Q9UHJ6|SHPK_HUMAN Sedoheptulokinase OS=Homo sapiens GN=SHPK PE=1 SV=3
2.3929E+07	1.1328E+07	8389600	1.0875E+07	1.4572E+07	9730800	1.0022E+07	1.145E+07	1.0438E+07	6745500	1.0819E+07	1.1127E+07	1.0718E+07	1.5271E+07	1.3091E+07	7591300	6420400	1.0501E+07	8703200	1.0427E+07	9595300	1.1505E+07	7573300	1.0924E+07				3	3	3	3.7	3.7	3.7	102.45	0.00031323	3.4232	468010000	18	A0A0B4J2E5;Q15269	A0A0B4J2E5;Q15269	Periodic tryptophan protein 2 homolog	PWP2	tr|A0A0B4J2E5|A0A0B4J2E5_HUMAN Uncharacterized protein OS=Homo sapiens GN=LOC102724159 PE=1 SV=1;sp|Q15269|PWP2_HUMAN Periodic tryptophan protein 2 homolog OS=Homo sapiens GN=PWP2 PE=2 SV=2
4954900	0	0	0	0	0	0	0	5972600	0	0	5984900	0	6757000	7531800	5139400	1119100	0	0	4684300	0	0	0	0				1	1	1	18.5	18.5	18.5	6.3133	0.001954	2.5248	76314000	2	A0A0B4J2F0	A0A0B4J2F0		PIGBOS1	sp|A0A0B4J2F0|PIOS1_HUMAN Protein PIGBOS1 OS=Homo sapiens GN=PIGBOS1 PE=3 SV=1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1	1	1	1.5	1.5	1.5	84.929	0	7.8805	0	0	A0A0B4J2F2;P57059	A0A0B4J2F2;P57059	Serine/threonine-protein kinase SIK1	LOC102724428;SIK1	tr|A0A0B4J2F2|A0A0B4J2F2_HUMAN SNF1-like kinase, isoform CRA_a OS=Homo sapiens GN=LOC102724428 PE=4 SV=1;sp|P57059|SIK1_HUMAN Serine/threonine-protein kinase SIK1 OS=Homo sapiens GN=SIK1 PE=1 SV=2
0	0	827890	0	0	7.0002E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	702880	0	0				6	6	6	2.3	2.3	2.3	325.77	0	11.024	142190000	2	A0A0C4DFX4;Q6ZRS2	A0A0C4DFX4;Q6ZRS2	Helicase SRCAP	SRCAP	tr|A0A0C4DFX4|A0A0C4DFX4_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens PE=4 SV=1;sp|Q6ZRS2|SRCAP_HUMAN Helicase SRCAP OS=Homo sapiens GN=SRCAP PE=1 SV=3
1.617E+07	1.4844E+07	1.4525E+07	1.7217E+07	1.5778E+07	1.4894E+07	1.3417E+07	1.3029E+07	1.0011E+07	1.4951E+07	1.5234E+07	1.7953E+07	1.8706E+07	1.5594E+07	1.6051E+07	1.2275E+07	4141600	1.5904E+07	1.1688E+07	1.3471E+07	1.1974E+07	1.2847E+07	1.3638E+07	1.0266E+07				2	2	2	3.8	3.8	3.8	65.123	0	5.3056	737900000	4	A0A0U1RQJ8;Q8WXE1	A0A0U1RQJ8;Q8WXE1	ATR-interacting protein	ATRIP	tr|A0A0U1RQJ8|A0A0U1RQJ8_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens PE=4 SV=2;sp|Q8WXE1|ATRIP_HUMAN ATR-interacting protein OS=Homo sapiens GN=ATRIP PE=1 SV=1
1.2537E+07	1.0755E+07	9669800	8906300	9129800	1.283E+07	8500400	7054200	7668800	7700900	5650900	5986200	6743900	5821300	6048200	0	0	6185500	5991900	4686300	5660800	7803000	3122100	2919200				2	2	2	19	19	19	12.462	0	8.9051	283290000	12	A0A0U1RQV1	A0A0U1RQV1			tr|A0A0U1RQV1|A0A0U1RQV1_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens PE=1 SV=1
0	1.2821E+07	2.058E+07	2.2001E+07	2.4027E+07	4.3117E+07	2.2328E+07	0	1.0895E+07	3.324E+07	0	3.3399E+07	3.8718E+07	4.6293E+07	0	2.1079E+07	3.4902E+07	0	0	0	0	0	2.0877E+07	0				11	1	1	23.5	3.2	3.2	45.208	0	27.423	703040000	13	A0A1B0GUL7	A0A1B0GUL7			tr|A0A1B0GUL7|A0A1B0GUL7_HUMAN Uncharacterized protein OS=Homo sapiens PE=1 SV=1
1.5822E+08	4.6526E+07	3.3498E+07	6.2412E+07	5.3525E+07	4.2709E+07	4.6081E+07	2.7875E+07	6067300	2.6961E+07	1.8426E+07	2.7924E+07	1.7901E+07	1.9938E+07	3.3624E+07	2.6042E+07	4.2146E+07	3.0473E+07	8.0789E+07	4.3178E+07	2.2601E+07	4.0233E+07	1.4441E+07	4.2227E+07				6	6	6	22.1	22.1	22.1	38.879	0	41.352	1538700000	34	A0A1C7CYW4;O75787	A0A1C7CYW4;O75787	Renin receptor	ATP6AP2	tr|A0A1C7CYW4|A0A1C7CYW4_HUMAN Renin receptor OS=Homo sapiens GN=ATP6AP2 PE=1 SV=1;sp|O75787|RENR_HUMAN Renin receptor OS=Homo sapiens GN=ATP6AP2 PE=1 SV=2
9.3642E+08	1.0005E+09	1.1527E+09	9.0581E+08	8.403E+08	1.3809E+09	1.2771E+09	1.2813E+09	1.0506E+09	1.3855E+09	1.4432E+09	1.3454E+09	1.4092E+09	1.2615E+09	1.3005E+09	1.7714E+09	1.7676E+09	1.5833E+09	1.6159E+09	1.8081E+09	1.7703E+09	2.0303E+09	1.9378E+09	1.7358E+09				43	43	0	54.8	54.8	0	75.872	0	323.31	59147000000	687	A0A1W2PNV4	A0A1W2PNV4			tr|A0A1W2PNV4|A0A1W2PNV4_HUMAN Uncharacterized protein OS=Homo sapiens PE=4 SV=1
1.4957E+07	7958600	7898100	8861200	1.1495E+07	1.774E+07	1.3272E+07	9990100	7116600	1.0686E+07	1.2455E+07	1.4503E+07	1.5311E+07	1.8303E+07	1.3806E+07	3857100	1.2824E+07	2.0148E+07	1.2895E+07	4128600	1.3959E+07	1.2872E+07	1.7324E+07	1.2136E+07				24	1	0	45.7	5.8	0	33.14	0	5.8115	527860000	17	A0A1W2PQS6	A0A1W2PQS6			tr|A0A1W2PQS6|A0A1W2PQS6_HUMAN RPS10-NUDT3 readthrough OS=Homo sapiens GN=RPS10-NUDT3 PE=4 SV=1
2.0005E+07	1.8054E+07	1.5323E+07	2.884E+07	2.9055E+07	2.0853E+07	2.4699E+07	2.4927E+07	1.9368E+07	2.0333E+07	2.5679E+07	1.8689E+07	2.0401E+07	2.3572E+07	2.1745E+07	2.0061E+07	1.7627E+07	2.3623E+07	2.1225E+07	1.9247E+07	3.1392E+07	1.9778E+07	1.708E+07	1.9087E+07				7	7	7	12.9	12.9	12.9	93.444	0	16.816	912950000	40	A0A1W2PRB8;Q9NVC6;Q9H0W9	A0A1W2PRB8;Q9NVC6	Mediator of RNA polymerase II transcription subunit 17	MED17	tr|A0A1W2PRB8|A0A1W2PRB8_HUMAN Mediator of RNA polymerase II transcription subunit 17 OS=Homo sapiens GN=MED17 PE=3 SV=1;sp|Q9NVC6|MED17_HUMAN Mediator of RNA polymerase II transcription subunit 17 OS=Homo sapiens GN=MED17 PE=1 SV=2
4999500	5860000	7601500	6849200	7483400	2.7092E+07	1.8206E+07	1.5741E+07	2.3441E+07	2.3074E+07	3379300	6335200	4666400	6145700	4608200	2.5918E+07	1.505E+07	1.8686E+07	9353600	2.6669E+07	3939400	2664400	3760700	0				7	7	7	22.7	22.7	22.7	42.906	0	277.93	463640000	10	A0A286YFD6;P31350	A0A286YFD6;P31350	Ribonucleoside-diphosphate reductase subunit M2	RRM2	tr|A0A286YFD6|A0A286YFD6_HUMAN Uncharacterized protein OS=Homo sapiens PE=4 SV=1;sp|P31350|RIR2_HUMAN Ribonucleoside-diphosphate reductase subunit M2 OS=Homo sapiens GN=RRM2 PE=1 SV=1
7.061E+07	7.921E+07	7.0733E+07	7.5552E+07	7.115E+07	8.5234E+07	7.5869E+07	1.0547E+08	1.0098E+08	9.241E+07	8.8491E+07	8.456E+07	7.843E+07	1.0148E+08	8.7006E+07	8.3637E+07	8.2919E+07	9.0614E+07	1.0048E+08	8.5975E+07	1.0563E+08	1.0953E+08	1.116E+08	1.1643E+08				14	14	14	27.5	27.5	27.5	64.098	0	29.497	3874100000	110	A0AV96;Q8TBY0;Q9NQ94	A0AV96	RNA-binding protein 47	RBM47	sp|A0AV96|RBM47_HUMAN RNA-binding protein 47 OS=Homo sapiens GN=RBM47 PE=1 SV=2
0	5260200	0	6800100	0	2494900	2200900	0	6670600	0	0	0	5732400	2658600	0	3040500	0	0	4023600	0	2920600	3074200	0	2285000				4	4	4	5.3	5.3	5.3	94.165	0	18.13	81575000	6	A0AVK6	A0AVK6	Transcription factor E2F8	E2F8	sp|A0AVK6|E2F8_HUMAN Transcription factor E2F8 OS=Homo sapiens GN=E2F8 PE=1 SV=1
1.428E+09	1.7286E+09	1.6616E+09	1.3944E+09	1.5858E+09	1.5369E+09	1.3104E+09	1.3548E+09	1.1395E+09	1.3181E+09	1.1344E+09	1.0806E+09	1.1658E+09	1.152E+09	1.1098E+09	1.5708E+09	1.7086E+09	1.6718E+09	1.5997E+09	1.6966E+09	1.3593E+09	1.3245E+09	1.373E+09	1.276E+09				51	51	51	56.5	56.5	56.5	117.97	0	323.31	59500000000	779	A0AVT1	A0AVT1	Ubiquitin-like modifier-activating enzyme 6	UBA6	sp|A0AVT1|UBA6_HUMAN Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens GN=UBA6 PE=1 SV=1
2.114E+08	1.9849E+08	1.7536E+08	1.7956E+08	1.7412E+08	1.4386E+08	1.3472E+08	1.6709E+08	1.0543E+08	1.5517E+08	1.3085E+08	1.4318E+08	1.4588E+08	1.4479E+08	1.246E+08	1.6684E+08	1.6541E+08	1.6484E+08	1.7319E+08	1.6766E+08	1.9227E+08	1.9286E+08	1.6032E+08	1.8046E+08				27	27	27	36.3	36.3	36.3	102.36	0	323.31	7011400000	174	A0FGR8	A0FGR8	Extended synaptotagmin-2	ESYT2	sp|A0FGR8|ESYT2_HUMAN Extended synaptotagmin-2 OS=Homo sapiens GN=ESYT2 PE=1 SV=1
0	1.0445E+07	5515800	4226000	4426800	0	7428000	0	0	0	0	0	6624900	0	0	0	6227800	0	0	0	0	0	0	0				2	2	2	19.7	19.7	19.7	26.273	0	7.817	76465000	1	A0JLT2	A0JLT2	Mediator of RNA polymerase II transcription subunit 19	MED19	sp|A0JLT2|MED19_HUMAN Mediator of RNA polymerase II transcription subunit 19 OS=Homo sapiens GN=MED19 PE=1 SV=2
0	0	0	0	5190400	8906700	4019300	0	0	0	0	7734600	0	1158200	0	0	1.1755E+07	0	1.0555E+07	4260100	1.055E+07	0	8901000	0				5	5	5	4	4	4	164.2	0	47.477	130620000	3	A0JNW5	A0JNW5	UHRF1-binding protein 1-like	UHRF1BP1L	sp|A0JNW5|UH1BL_HUMAN UHRF1-binding protein 1-like OS=Homo sapiens GN=UHRF1BP1L PE=1 SV=2
2.4455E+08	2.639E+08	3.0312E+08	2.2352E+08	2.5921E+08	4.2062E+08	3.6477E+08	3.213E+08	2.6938E+08	2.9153E+08	3.5408E+08	2.8004E+08	3.1715E+08	3.4713E+08	3.6981E+08	4.4516E+08	4.4485E+08	4.2418E+08	4.2271E+08	4.3719E+08	4.6236E+08	4.9301E+08	5.1127E+08	4.5738E+08				45	45	45	62	62	62	71.639	0	323.31	15303000000	381	A0MZ66	A0MZ66	Shootin-1	KIAA1598	sp|A0MZ66|SHOT1_HUMAN Shootin-1 OS=Homo sapiens GN=SHTN1 PE=1 SV=4
4563500	4887300	3687200	3577000	3791500	3720800	2476900	4017200	5401000	3025000	5473700	3539500	2999100	4436200	3672500	0	7582300	4712900	3567800	0	0	4566900	3064600	4165300				2	2	2	8.4	8.4	8.4	22.049	0.0087342	1.7579	151530000	1	A0PJW6	A0PJW6	Transmembrane protein 223	TMEM223	sp|A0PJW6|TM223_HUMAN Transmembrane protein 223 OS=Homo sapiens GN=TMEM223 PE=1 SV=1
0	0	6204100	1118000	5434400	0	0	2.2464E+07	9847200	0	0	2.793E+07	3.7152E+07	0	1.6928E+07	0	0	0	437650	0	0	0	1.6259E+07	0				2	2	2	5	5	5	89.374	0	4.4328	242210000	1	A1A4S6	A1A4S6	Rho GTPase-activating protein 10	ARHGAP10	sp|A1A4S6|RHG10_HUMAN Rho GTPase-activating protein 10 OS=Homo sapiens GN=ARHGAP10 PE=1 SV=1
0	7425800	0	7269100	0	0	0	0	0	0	0	0	0	0	0	0	3289200	0	1.0285E+07	0	8786400	0	0	1.1459E+07				1	1	1	9.2	9.2	9.2	20.324	0	6.1073	94986000	4	A1KXE4	A1KXE4	Myelin-associated neurite-outgrowth inhibitor	FAM168B	sp|A1KXE4|F168B_HUMAN Myelin-associated neurite-outgrowth inhibitor OS=Homo sapiens GN=FAM168B PE=1 SV=1
1.756E+08	1.7447E+08	1.6751E+08	1.7716E+08	1.6956E+08	2.6657E+08	2.4678E+08	2.3485E+08	2.4101E+08	2.6148E+08	2.148E+08	2.1701E+08	2.3351E+08	2.0314E+08	1.8466E+08	2.3045E+08	1.9382E+08	2.3852E+08	2.3376E+08	2.3159E+08	1.7793E+08	2.0354E+08	2.1055E+08	1.794E+08				19	19	19	29.7	29.7	29.7	67.867	0	84.8	8901500000	190	A1L0T0	A1L0T0	Acetolactate synthase-like protein	ILVBL	sp|A1L0T0|ILVBL_HUMAN Acetolactate synthase-like protein OS=Homo sapiens GN=ILVBL PE=1 SV=2
2752400	2421400	2862900	2967200	2783300	0	1298800	2063100	2475500	2414900	3102000	3593700	2700800	2231200	2222400	0	2554700	1934800	2193600	0	2230400	2772500	0	1793900				1	1	1	17.6	17.6	17.6	7.7558	0	4.3433	83740000	16	A1L188	A1L188	Uncharacterized protein C17orf89	C17orf89	sp|A1L188|NDUF8_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8 OS=Homo sapiens GN=NDUFAF8 PE=1 SV=1
0	0	0	2.0576E+07	5077800	1.1972E+07	1.8231E+07	1.2398E+08	7.6876E+07	1.9783E+07	1.1262E+07	2.9546E+07	3.2582E+07	7790800	0	0	2.5269E+07	1.3591E+07	1.0412E+08	1.3452E+08	1.7826E+07	5.6736E+07	5.0398E+07	1.1518E+08				17	17	17	22.3	22.3	22.3	134.41	0	95.91	1589200000	5	A1L390	A1L390	Pleckstrin homology domain-containing family G member 3	PLEKHG3	sp|A1L390|PKHG3_HUMAN Pleckstrin homology domain-containing family G member 3 OS=Homo sapiens GN=PLEKHG3 PE=1 SV=1
4943800	1954100	1799700	5758300	5926800	1386700	0	0	0	0	0	3211800	1091700	2237200	3153800	0	0	0	0	0	1159600	1004600	0	0				2	2	2	6.4	6.4	6.4	33.356	0.00031496	3.5207	62516000	4	A1L3X0	A1L3X0	Elongation of very long chain fatty acids protein 7	ELOVL7	sp|A1L3X0|ELOV7_HUMAN Elongation of very long chain fatty acids protein 7 OS=Homo sapiens GN=ELOVL7 PE=1 SV=1
3.8602E+07	3.9068E+07	2.6118E+07	1.8209E+07	3.4483E+07	1.0634E+08	9.5208E+07	1.138E+08	8.379E+07	9.6849E+07	7.657E+07	7.5353E+07	6.9453E+07	8.9603E+07	7.6288E+07	1.5298E+08	1.4701E+08	1.4092E+08	1.7145E+08	1.5515E+08	1.5673E+08	1.7395E+08	1.5893E+08	1.8688E+08				24	24	21	32.4	32.4	30.2	101.58	0	156.7	4549600000	115	A1X283	A1X283	SH3 and PX domain-containing protein 2B	SH3PXD2B	sp|A1X283|SPD2B_HUMAN SH3 and PX domain-containing protein 2B OS=Homo sapiens GN=SH3PXD2B PE=1 SV=3
0	0	0	0	0	0	1998000	0	0	0	0	0	0	0	0	0	0	0	688350	0	5018300	0	0	2476200				4	4	4	12.5	12.5	12.5	33.43	0.00077053	3.0646	26064000	3	A1XBS5	A1XBS5	Protein FAM92A1	FAM92A1	sp|A1XBS5|FA92A_HUMAN Protein FAM92A OS=Homo sapiens GN=FAM92A PE=1 SV=2
3783700	3534600	2895200	3422800	3204000	2191500	0	0	0	0	3012500	0	0	0	0	1149400	0	0	0	2833300	0	0	0	0				6	6	6	6.9	6.9	6.9	83.87	0	6.0988	42864000	1	A2AJT9	A2AJT9	Uncharacterized protein CXorf23	CXorf23	sp|A2AJT9|BCLA3_HUMAN BCLAF1 and THRAP3 family member 3 OS=Homo sapiens GN=BCLAF3 PE=1 SV=1
6.2547E+07	4.7945E+07	4.9664E+07	4.7009E+07	4.5231E+07	4.4304E+07	3.7712E+07	4.0701E+07	4.0718E+07	3.1084E+07	4.0031E+07	3.8575E+07	3.6185E+07	4.4318E+07	4.4048E+07	2.9428E+07	2.8561E+07	4.47E+07	3.704E+07	3.5664E+07	4.0803E+07	3.7644E+07	3.4656E+07	4.1128E+07				17	17	17	8.9	8.9	8.9	268.57	0	219.62	1784500000	74	A2RRP1	A2RRP1	Neuroblastoma-amplified sequence	NBAS	sp|A2RRP1|NBAS_HUMAN Neuroblastoma-amplified sequence OS=Homo sapiens GN=NBAS PE=1 SV=2
